"08/09/16, 10:44 - יצרת את הקבוצה ""פרוייקט"""
09/11/16, 14:23 - Yochai: חחח נלמד בקורס פייטון וjupyter
10/11/16, 00:24 - אנונימוס: <מדיה הושמטה>
10/11/16, 23:42 - Yochai: אנונימוס יסאחי באמת ראית את הכתבה?
10/11/16, 23:43 - אנונימוס: חחח נראה לך
10/11/16, 23:43 - אנונימוס: שחקתי אותה כי אתם חרא לא מגיבים
13/11/16, 11:32 - אנונימוס: באלי לכתוב ליוחאי שם : אין ואייפאי במילואים ?
13/11/16, 11:32 - אנונימוס: חחחח
13/11/16, 11:43 - Yochai: חחחח
13/11/16, 11:44 - Yochai: זובי
13/11/16, 11:44 - Yochai: תעשו את המצגת לשלישי
13/11/16, 11:44 - אנונימוס: תפי
13/11/16, 11:44 - אנונימוס: איכס
13/11/16, 11:44 - אנונימוס: כל הסופש אני יושב על השרת
13/11/16, 11:44 - אנונימוס: עכשיו גם מצגת
13/11/16, 11:45 - Yochai: מצגת קצרה באנגלית
13/11/16, 11:45 - אנונימוס: תעשה במילואים ימנייאק
13/11/16, 11:45 - אנונימוס: מצגת זה לא תחתי
13/11/16, 11:45 - אנונימוס: אני לא אחראי מצגות
13/11/16, 11:45 - Yochai: אנונימוס המניאק
13/11/16, 12:14 - אנונימוס: אני כרגע מושבת
13/11/16, 12:14 - אנונימוס: אני צריך להיכנס לאווירת לימודים
13/11/16, 12:14 - אנונימוס: למה מה קרה לך
13/11/16, 12:14 - אנונימוס: לא מצליח להתרכז עם האווירה חרא שיש בבית
13/11/16, 12:16 - אנונימוס: חחח אדיוט זה
13/11/16, 12:17 - אנונימוס: איזה מתח מה הוא ירשום
13/11/16, 12:17 - אנונימוס: אדיוטטטטטטט
13/11/16, 12:17 - Yochai: חחח
13/11/16, 12:17 - Yochai: אני רושם
13/11/16, 12:17 - Yochai: תלוי אם היא כוסית
13/11/16, 12:18 - אנונימוס: חחח היא באר שבעית
13/11/16, 12:18 - Yochai: סיימנו את המתייג
13/11/16, 12:18 - אנונימוס: אם אתה גבר תשלח לו האם היא כוסית
13/11/16, 12:18 - אנונימוס: איזה סיימנו יקח לאנונימוס זמן
13/11/16, 12:18 - Yochai: תשאל אם היא יכולה לעזור בסקר ספרות
13/11/16, 12:18 - אנונימוס: חחחח
13/11/16, 12:19 - Yochai: תענה לו
13/11/16, 12:19 - אנונימוס: אין צורך שלה
13/11/16, 12:19 - אנונימוס: אני אענה לו
13/11/16, 12:19 - Yochai: 👍🏾
13/11/16, 12:21 - אנונימוס: מה צריך להיות במצגת?
13/11/16, 12:21 - אנונימוס: כמה זמן הצגה?
13/11/16, 12:23 - אנונימוס: לא מאמין שרשמת את זה
13/11/16, 12:23 - Yochai: חחח
13/11/16, 12:26 - אנונימוס: למה לא מה
13/11/16, 12:26 - אנונימוס: ילדה בתיכון
13/11/16, 12:26 - אנונימוס: תנו לה ללמוד
13/11/16, 12:26 - Yochai: שתעשה את הקטע של אילו שאלות להציג למשתמש
13/11/16, 12:31 - אנונימוס: לא
13/11/16, 12:32 - אנונימוס: את זה אני עושה..
13/11/16, 12:32 - אנונימוס: טמה שאנונימוס הציעה בכלל לא צריך את זה
13/11/16, 12:32 - אנונימוס: למה זה טוב
13/11/16, 12:33 - אנונימוס: למה צריך מנגנון ביקורת
13/11/16, 12:33 - אנונימוס: או לחלופין מה הכוונה בשפה פשוטה
13/11/16, 12:36 - אנונימוס: כמו שבכל ניסוי יש
13/11/16, 12:36 - אנונימוס: אתה רוצים תעשו אתם לא רוצים אל תעשו
13/11/16, 12:36 - אנונימוס: לא יודע כמה ניסויים עשית בכל ניסוי יש
13/11/16, 12:36 - אנונימוס: איזה ניסוי
13/11/16, 12:37 - אנונימוס: תיוג ידני זה כמו ניסוי
13/11/16, 12:37 - אנונימוס: נותנים לבן אדם להחליט והוא מוטה
13/11/16, 12:37 - אנונימוס: אל מה הביקורת אבל
13/11/16, 12:37 - אנונימוס: לוודא שהבן אדם לא טמבל והוא מרוכז ויודע מה שהוא עושה
13/11/16, 12:37 - אנונימוס: על התןצאות של התיוג שלו? על ה 1 2 3 4 5?
13/11/16, 12:37 - אנונימוס: כן
13/11/16, 12:38 - אנונימוס: אתה יכול להתווכח אם יש זמן או אין זמן אתה לא יכול להתווכח שמבחינה עקרונית צריכים לעשות את זה
13/11/16, 12:38 - אנונימוס: מה אתה שיכור.. איך תעשה על זה ביקורת
13/11/16, 12:38 - אנונימוס: יש מספיק דרכים ...
13/11/16, 12:38 - אנונימוס: הכל שאלה של זמן
13/11/16, 12:38 - אנונימוס: יש זמן זה פיצר קטן
13/11/16, 12:38 - אנונימוס: אני יכתוב אותו עם תרצה
13/11/16, 12:38 - אנונימוס: אם
13/11/16, 12:39 - אנונימוס: רק תסביר לי איך עושים ביקןרת אני אשמח
13/11/16, 12:39 - אנונימוס: אם בן אדם סימן 5 5 5 5 5
13/11/16, 12:39 - אנונימוס: 1. מוסיפים פ'יצר שניים בצד הלקוח שבודק האם הבן אדם מרוכז ואז התוצאה חוזרת לשרת
13/11/16, 12:39 - אנונימוס: מכ תגיד הוא פסיכןפט?
13/11/16, 12:39 - אנונימוס: 2. מסתמכים על התשובות של הבן אדם
13/11/16, 12:39 - אנונימוס: זה מה שהוא סימן מה לעשות..
13/11/16, 12:39 - אנונימוס: אל מול הדעות שלו
13/11/16, 12:40 - אנונימוס: אתה יכול בזמן הניסוי לשאול שאלה שבודקת אם הוא מרוכז ללא קשר לתיוג
13/11/16, 12:40 - אנונימוס: יש הרבה דוגמאות לאיך לעשות את זה
13/11/16, 12:40 - אנונימוס: זה מילא
13/11/16, 12:40 - אנונימוס: להכניס שאלת ריכוז
13/11/16, 12:40 - אנונימוס: לגיטימי
13/11/16, 12:40 - אנונימוס: כל ניסוי עושים לך את זה
13/11/16, 12:40 - אנונימוס: אבל לא מעבר לזה
13/11/16, 12:40 - אנונימוס: כל הדברים ההזויים שאתה לא מבין למה עושים אותם בניסוי זה זה
13/11/16, 12:41 - אנונימוס: כמו לבקש להזיז את העכבר למקום מסוים
13/11/16, 12:41 - אנונימוס: אין לך כלים לנקמל את הסימונים שלו לפי דעותיו
13/11/16, 12:41 - אנונימוס: ואז ללחוץ
13/11/16, 12:41 - אנונימוס: זה יצור הטעיה
13/11/16, 12:41 - אנונימוס: מנגנון ערנות מילא..
13/11/16, 12:41 - אנונימוס: אתה יכול לחזור אל שאלות שהוא תייג בעבר ולבדוק הוא עקבי
13/11/16, 12:41 - אנונימוס: יש מספיק דרכים השאלה זה זמן
13/11/16, 12:42 - אנונימוס: לא על זה אני מדבר
13/11/16, 12:42 - אנונימוס: זה בסדר
13/11/16, 12:42 - אנונימוס: בקיצר יש מספיק דרכים
13/11/16, 12:42 - אנונימוס: מדבר על לקחת את התוצאות
13/11/16, 12:42 - אנונימוס: מה הבעיה
13/11/16, 12:42 - אנונימוס: במידה והם בסדר מבחינת ערנות ועקביות
13/11/16, 12:42 - אנונימוס: ולבדוק אותם מול דעותיו
13/11/16, 12:42 - אנונימוס: אני נגד
13/11/16, 12:42 - אנונימוס: אפשרי לעשות
13/11/16, 12:42 - אנונימוס: לוקח זמן
13/11/16, 12:43 - אנונימוס: אין לך כלים וידע לעשות דבר כזה
13/11/16, 12:43 - אנונימוס: לנרמל מ 5 ל3 כי הוא קיצוני
13/11/16, 12:43 - אנונימוס: גם לנמרוד אין
13/11/16, 12:43 - אנונימוס: אתה מעביר כל טקסט זיהוי ראשוני על בסיס מילים אם הוא ימני או שמאלני
13/11/16, 12:44 - אנונימוס: ואז אם הטקסט מזוהה כימני ואז המתייג ימני אז יכול להיות הטיה
13/11/16, 12:44 - אנונימוס: אתה מכניס מנגנון החלקה במקרה כזה
13/11/16, 12:45 - אנונימוס: בהצלחה
13/11/16, 12:45 - אנונימוס: זה יצור הטעחה
13/11/16, 12:46 - אנונימוס: הטעיה
13/11/16, 12:46 - אנונימוס: על סמך מה תכתוב מנגנון כזה
13/11/16, 12:46 - אנונימוס: מה אתה פסיכולוג
13/11/16, 12:48 - אנונימוס: זה נקרא פרויקט אתה בודק מול אנשי מקצוע/ספרות
14/11/16, 10:52 - Yochai: היה משהו מעניין בשיחה אתמול?
14/11/16, 13:06 - אנונימוס: אנונימוס
14/11/16, 13:06 - אנונימוס: יש תמונה בדרייב של בן אדם יושב מול מחשב.. תעשה אותו שקוף רגע
14/11/16, 13:06 - אנונימוס: <מדיה הושמטה>
14/11/16, 13:15 - אנונימוס: מה אני מעצב
14/11/16, 13:27 - אנונימוס: חרטטוי עשית כבק
14/11/16, 13:27 - אנונימוס: אבל לא משנה
14/11/16, 13:30 - אנונימוס: המצגת בעברית או באנגלית?
14/11/16, 14:01 - אנונימוס: תאכלס אחרי שהפרויקט יסתיים, נותנים לאנשים לתייג טרור ועשינו גם מערכת לניטור טרור
14/11/16, 14:01 - אנונימוס: נותנים לאנשים לתייג פוסטים סאחים ועשינו מערכת לאיתור סאחיזם
14/11/16, 14:03 - אנונימוס: יוחאי תעשה גרסה סודית לאיתור סאחים
14/11/16, 15:42 - Yochai: אני עושה מערכת תיוגים לסאחים
14/11/16, 15:44 - אנונימוס: חייב ב5נגלית..
14/11/16, 15:44 - אנונימוס: אנגלית
14/11/16, 15:48 - Yochai: אנונימוס תעשו את הפרזנטציה גם באנגלית
14/11/16, 15:48 - Yochai: שיתרשמו
14/11/16, 15:49 - אנונימוס: נגיד לו שהברזת ושאלה לא במילואים
14/11/16, 16:33 - אנונימוס: <מדיה הושמטה>
14/11/16, 22:12 - Yochai: איזה הייטק ואיזה נעליים
14/11/16, 22:12 - Yochai: פינת הסקר ספרות
14/11/16, 22:31 - אנונימוס: חח בול
14/11/16, 22:32 - אנונימוס: אנונימוס ארמין ענה?
14/11/16, 22:32 - אנונימוס: שנדע אם להביא חטיפים
14/11/16, 22:38 - אנונימוס: <מדיה הושמטה>
14/11/16, 23:31 - Yochai: זובי
14/11/16, 23:09 - אנונימוס: מצויין
14/11/16, 23:09 - אנונימוס: שיפנה אליו
14/11/16, 23:09 - אנונימוס: יוחאי לטיפולך
14/11/16, 23:09 - אנונימוס: 😂
16/11/16, 11:22 - Yochai: ימניאק מה אתה דוחה את הפגישה
16/11/16, 11:22 - אנונימוס: חח לא סיימתי תשרת
16/11/16, 11:23 - אנונימוס: וצריך לדאוג לחבר בין השרת ללקוח
16/11/16, 11:23 - אנונימוס: עדיף שבוע הבא
16/11/16, 11:23 - Yochai: נשב על זה שבוע הבא
16/11/16, 11:23 - אנונימוס: כן.ץ
20/11/16, 18:18 - Yochai: מי מוביל שיחה היום?
20/11/16, 18:18 - Yochai: אנונימוס?
20/11/16, 18:18 - אנונימוס: אתה
20/11/16, 18:18 - Yochai: חחח
20/11/16, 18:18 - אנונימוס: חח
20/11/16, 18:18 - Yochai: מה עם הסקר ספרות
20/11/16, 18:18 - אנונימוס: יוחאי היית אצל יובל שחר?
20/11/16, 18:19 - Yochai: כן אני פה
20/11/16, 18:19 - אנונימוס: אה
20/11/16, 18:19 - אנונימוס: זה עכשיו
20/11/16, 18:19 - אנונימוס: מסור לו דש
20/11/16, 18:19 - Yochai: הוא מסר טפי
20/11/16, 20:15 - Yochai: השיחה בעשר נכון?
20/11/16, 21:41 - אנונימוס: אין לי מה להגיד בשיחה
20/11/16, 21:42 - אנונימוס: ואני לא יוצא היום
20/11/16, 21:42 - אנונימוס: אני הבטחתי להתחיל ללמוד את הגופיטר
20/11/16, 21:46 - אנונימוס: תשלחו מראש שיחה
20/11/16, 22:04 - Yochai: איפה אתה אנונימוס
20/11/16, 22:10 - Yochai: אנונימוס כבה תמצלמה
20/11/16, 22:31 - Yochai: יאללה סיימו
20/11/16, 22:37 - אנונימוס: <מדיה הושמטה>
20/11/16, 22:37 - אנונימוס: <מדיה הושמטה>
22/11/16, 14:03 - אנונימוס: אממ 2000 אצלי עושים מצגת..  צריכים שתהיה מצגת איכותית גם המשך .  תבואו מוכנים ויוחאי תביא את הכרטיסים
25/11/16, 14:07 - Yochai: הלו תשלחו לי את 1ה בקבלת החלטות בבקשה
25/11/16, 21:40 - אנונימוס: יש פיתרון רשמי בדרייב
26/11/16, 12:30 - אנונימוס: אנונימוס
26/11/16, 12:30 - אנונימוס: אני ממנה אותך לא. טכנולוגיה
26/11/16, 12:31 - אנונימוס: אנונימוס? בתור א. טכנולוגיה מה להתחיל ללמוד?
26/11/16, 12:31 - Yochai: צריך לעשות את המדדים
26/11/16, 12:31 - אנונימוס: אני רוצה ולכן שואל מה ללמוד לפני
26/11/16, 13:02 - אנונימוס: אנונימוס
26/11/16, 13:02 - אנונימוס: תעשה טובה
26/11/16, 13:02 - אנונימוס: תשלח לי את כל מה שקשור לשרת במסמך איפיון
26/11/16, 13:02 - אנונימוס: רק חלקים רלוונטחחם
26/11/16, 13:02 - אנונימוס: אגב
26/11/16, 13:03 - אנונימוס: אחרי מאמצים סידרתי את זה שהשרת rest ידע להחזיר דפי html המתייג עובד
26/11/16, 13:03 - Yochai: 👍🏾
26/11/16, 13:03 - אנונימוס: עשיתי אותו mvc בסוף
26/11/16, 13:04 - אנונימוס: אני יעשה היום ליטושים אחרונים על פי המסמך איפיון
26/11/16, 13:04 - אנונימוס: ויעלה הכל לגיט
29/11/16, 18:02 - אנונימוס: שלום לכולם
29/11/16, 18:02 - אנונימוס: מחר נפגשים כם ארז
29/11/16, 18:02 - אנונימוס: כרגע המתייג לא עובד
29/11/16, 18:02 - אנונימוס: כי?
29/11/16, 18:03 - אנונימוס: רוצים לשבת על זה ב21:00 ?
29/11/16, 18:03 - אנונימוס: 1. לא העלנו אותו
2. אנונימוס לא עשה את הגוב שהיה צריך לעשות
3. אני ויוחאי לא עשינו אינטגרציה בין הלקוח לשרת 
4. בלקוח יש בעיות ובאגים
5. לא עשינו שום בדיקות
29/11/16, 18:04 - אנונימוס: מה זה 2 ?
29/11/16, 18:04 - אנונימוס: אני מציע שנקדיש לזה שעתיים היום
29/11/16, 18:04 - אנונימוס: לבנות ריפוסיטורי של פוסטים
29/11/16, 18:04 - Yochai: איפה יושבים היום
29/11/16, 18:04 - אנונימוס: רוצים לשבת ב-21:00 ?
29/11/16, 18:04 - אנונימוס: כן צריך..
29/11/16, 18:05 - אנונימוס: עדיף ב 8
29/11/16, 18:05 - אנונימוס: טוב 21:00 אצלי?
29/11/16, 18:05 - Yochai: תשע מאוחר
29/11/16, 18:05 - אנונימוס: 2030
29/11/16, 18:05 - אנונימוס: נכון
29/11/16, 18:05 - Yochai: כמה שיותר מוקדם
29/11/16, 18:05 - אנונימוס: אוקי
29/11/16, 18:05 - אנונימוס: 8 וחצח
29/11/16, 18:05 - אנונימוס: מתחילים
29/11/16, 18:05 - אנונימוס: 8 ורבע הגעה
29/11/16, 18:05 - אנונימוס: טפי וביי
29/11/16, 18:05 - אנונימוס: חבל על הזמן
30/11/16, 01:53 - Yochai: באיזה שעה הפגישה מחר
30/11/16, 10:13 - אנונימוס: לא יודע
30/11/16, 10:13 - אנונימוס: גיליתי למה אני לא קםםםם ב 3 ימים האחרונים בזמן
30/11/16, 10:13 - אנונימוס: הלך ךי הרמקול הפלאפון
30/11/16, 10:13 - אנונימוס: השעון לא עובדדדדד
30/11/16, 10:13 - Yochai: חחחח
30/11/16, 10:30 - Yochai: <מדיה הושמטה>
30/11/16, 10:30 - Yochai: למה הדטה לא מתקבל מה הבעיה
30/11/16, 10:31 - אנונימוס: תשתמש ב postman
30/11/16, 10:32 - Yochai: אוקי אנסה
30/11/16, 10:35 - Yochai: <מדיה הושמטה>
30/11/16, 10:35 - Yochai: עדיין לא הצליח
30/11/16, 10:36 - אנונימוס: <מדיה הושמטה>
30/11/16, 10:37 - אנונימוס: <מדיה הושמטה>
30/11/16, 10:39 - Yochai: אה שכחתי להגדיר שזה json
30/11/16, 10:39 - אנונימוס: עובד?
30/11/16, 10:40 - Yochai: לא
30/11/16, 10:40 - Yochai: <מדיה הושמטה>
30/11/16, 10:40 - אנונימוס: לא טוב
30/11/16, 10:41 - Yochai: אני לא צריך להפיל את השרת נכון?
30/11/16, 10:41 - אנונימוס: צלם לי תלמעלה
30/11/16, 10:41 - אנונימוס: ברור שאתה צריך
30/11/16, 10:41 - Yochai: <מדיה הושמטה>
30/11/16, 10:41 - אנונימוס: אתה שולח rest לשרת
30/11/16, 10:41 - Yochai: להפיל אחרי ששלחתי rest?
30/11/16, 10:41 - אנונימוס: אה להפיל
30/11/16, 10:41 - אנונימוס: חשבצי להפעיל
30/11/16, 10:41 - אנונימוס: לא
30/11/16, 10:42 - אנונימוס: אני אגיד לך מה לעשות
30/11/16, 10:42 - אנונימוס: תוסיף
30/11/16, 10:42 - אנונימוס: את זה ל header
30/11/16, 10:42 - אנונימוס: <מדיה הושמטה>
30/11/16, 10:43 - אנונימוס: יש כפתור header
30/11/16, 10:43 - אנונימוס: מצד ימין למעלה
30/11/16, 10:44 - Yochai: עובד
30/11/16, 10:44 - אנונימוס: יופי
30/11/16, 10:50 - Yochai: אני יודע מה הייתה הבעיה
30/11/16, 10:50 - Yochai: לא איפסתי את הit
30/11/16, 10:50 - אנונימוס: תראה שזה עובד וצעשה קומיט
30/11/16, 10:51 - Yochai: לפני שאתה עושה קומיט תשמור את התוכן של הapp באיזה notepad
30/11/16, 10:52 - אנונימוס: בסדר אל תדאג
30/11/16, 10:55 - Yochai: עכשיו העניין שהשרת כן מקבל את הjson אבל מחזיר שוב את אותם נתונים
30/11/16, 10:55 - Yochai: שניה אני עושה קומיט
30/11/16, 10:55 - אנונימוס: בגלל הסקיפ
30/11/16, 10:55 - אנונימוס: או שעשית ראנג
30/11/16, 10:55 - אנונימוס: ק
30/11/16, 10:56 - Yochai: עשיתי rank
30/11/16, 10:56 - אנונימוס: תשלח אבדוק
30/11/16, 10:56 - אנונימוס: תעשה קומיט
30/11/16, 10:56 - Yochai: עשיתי
30/11/16, 11:05 - Yochai: שים לב שדילגתי על הדוגמאות זה ישר הולך לתיוג
30/11/16, 11:21 - Yochai: איך עושים ctrl y בתכנה הזאת
30/11/16, 11:21 - אנונימוס: Ctrl shipt Z
30/11/16, 11:21 - Yochai: זה עושה רק צעד אחד
30/11/16, 11:21 - Yochai: סעמק
30/11/16, 11:22 - Yochai: תעשה רגע קומיט
30/11/16, 11:31 - Yochai: לא חשוב הסתדר
30/11/16, 12:19 - אנונימוס: יום שני על האש...  איך נשמע?
30/11/16, 12:20 - אנונימוס: בעצם שלישי
30/11/16, 12:21 - אנונימוס: שלישי ב2100
30/11/16, 12:38 - Yochai: תעשה לפני הברקה
01/12/16, 10:05 - אנונימוס: מתי הפגישה הבאה עם ארמין ביום שלישי?
01/12/16, 10:22 - אנונימוס: 7.12
01/12/16, 10:23 - אנונימוס: זה יוצא יום רביעי
01/12/16, 10:28 - אנונימוס: אז תבדוק במייל
"01/12/16, 11:38 - אנונימוס: אנונימוס אתה נשאר סופ""ש?"
01/12/16, 11:39 - אנונימוס: 🙏🏻
01/12/16, 11:56 - אנונימוס: לא יודע עדיין
01/12/16, 11:59 - אנונימוס: נוו תחליטטט אני רוצה לקבוע משהו טוב
01/12/16, 11:59 - אנונימוס: 1715
01/12/16, 12:28 - אנונימוס: מה יש לך לקבוע
01/12/16, 12:29 - אנונימוס: מה זה קשור להחלטה שלי
01/12/16, 12:29 - Yochai: חחח יש מסיבת טבע
01/12/16, 12:29 - Yochai: אנונימוס תקנה לו כרטיס
01/12/16, 12:29 - אנונימוס: יוחאי שבוע הבא יש פגישה עם ארמין?
01/12/16, 12:30 - Yochai: אין לי מןשג
01/12/16, 12:30 - אנונימוס: חחח לא מסיבת טבע
01/12/16, 12:32 - אנונימוס: קיצר אנונימוס ויוחאי קבעתי ליום שבת ב-17:10 אירוע
01/12/16, 12:33 - Yochai: אני לא נשאר
01/12/16, 12:33 - אנונימוס: סאח
01/12/16, 12:33 - אנונימוס: 😂
01/12/16, 12:33 - Yochai: איזה אירוע
01/12/16, 12:33 - אנונימוס: מה אתה צוחק זה ילד סאחי
01/12/16, 12:33 - אנונימוס: לא אומר לך אבל אנונימוס יודע
01/12/16, 12:33 - אנונימוס: ואם לא אני בשוק
01/12/16, 12:34 - Yochai: נו מה האירוע
01/12/16, 12:35 - אנונימוס: לא יודע
01/12/16, 12:35 - אנונימוס: אנונימוס אתה בושה
01/12/16, 12:35 - אנונימוס: הולכים לשמוע גניחו
01/12/16, 12:35 - אנונימוס: ת
01/12/16, 12:35 - אנונימוס: ?
01/12/16, 12:35 - אנונימוס: העיקר אתה אומר שאתה אוהד בארסה
01/12/16, 12:35 - אנונימוס: אה קלאסיקו
01/12/16, 12:35 - אנונימוס: ואי ואי
01/12/16, 12:35 - אנונימוס: איזה בלאגן לא התחלתי ללמוד לבוחן
01/12/16, 12:36 - אנונימוס: אפשר לחשוב
01/12/16, 12:36 - אנונימוס: כולה בוחן דפוק
01/12/16, 12:36 - אנונימוס: מה ישאל אותך כבר
01/12/16, 22:01 - אנונימוס: השיחה מתחילה אוטומטית?
01/12/16, 22:02 - אנונימוס: אם אמרתי שאני מגיע לפגישה
01/12/16, 22:03 - Yochai: לא
01/12/16, 22:03 - אנונימוס: תקשרו אלי
01/12/16, 22:10 - אנונימוס: תסתכל בפייסבוק דחטף
06/12/16, 16:27 - אנונימוס: רשמתי אותכם למעבדה בכרייה
06/12/16, 16:27 - אנונימוס: אם אתם רוצים תחליפו מקןם
06/12/16, 16:27 - אנונימוס: פשוט עשיתי את זה בין 1 ל 2 כי ב 2 כולם לןמדי
06/12/16, 16:27 - אנונימוס: ם
06/12/16, 16:47 - Yochai: מתי זה
06/12/16, 17:16 - אנונימוס: רביעי שבוע הבא ואחריו
07/12/16, 09:20 - Yochai: יש פגישה היום ?
07/12/16, 20:49 - Yochai: עושים אצלי מסיבת דירה חח
07/12/16, 21:57 - Yochai: הלו יש יציאה היום?
07/12/16, 22:45 - אנונימוס: יהיה
07/12/16, 22:47 - אנונימוס: לא יהיה
11/12/16, 21:31 - Yochai: יש היום שיחה?
11/12/16, 21:47 - אנונימוס: לא ידעתי שיש פגישה אני ברכבת ואין לי סוללה
11/12/16, 21:47 - אנונימוס: תגידו להם
11/12/16, 21:48 - Yochai: מה לומר לגבי השרת?
11/12/16, 21:48 - Yochai: הצלחת להתקין את הtomcat?
11/12/16, 21:48 - אנונימוס: לא הייתי באוניברסיטה
11/12/16, 21:49 - אנונימוס: תגיד לו שאנחנו ביקשנו עזרה ממישהו שמבין
11/12/16, 21:49 - אנונימוס: והוא מעסור לנו בהמשך השבוע
11/12/16, 21:49 - אנונימוס: תגידו לו שכולנו עכשיו נותנים פוש על הסקר ספרות פלוס מדדים
11/12/16, 21:49 - Yochai: סבבה
11/12/16, 21:49 - אנונימוס: ולמידת פייטון
11/12/16, 22:01 - Yochai: אנונימוס אתה נכנס לשיחה?
11/12/16, 22:15 - אנונימוס: <מדיה הושמטה>
11/12/16, 23:20 - אנונימוס: מישהו רוצה לצאת?
11/12/16, 23:24 - אנונימוס: הלווו
11/12/16, 23:37 - אנונימוס: לא
11/12/16, 23:40 - אנונימוס: מה עם יוחאי התחיל להתעלם
11/12/16, 23:40 - אנונימוס: או שנופר משפיעה עליו לרעה גרמה לו ריור
11/12/16, 23:44 - אנונימוס: או שהתחיל לבלות עם השותפות
11/12/16, 23:54 - Yochai: לא הייתי עם הפלאפון
11/12/16, 23:55 - Yochai: מחר ברקה
12/12/16, 00:00 - אנונימוס: איפה היית
12/12/16, 00:00 - אנונימוס: בוא לפה
12/12/16, 00:02 - Yochai: לאן
12/12/16, 00:08 - אנונימוס: בנגי
12/12/16, 00:08 - אנונימוס: איפה אתה נעלם
12/12/16, 00:10 - Yochai: הייתי עם השותפות
12/12/16, 00:10 - אנונימוס: תזמין מתישהו ימניאק
12/12/16, 00:10 - אנונימוס: לא יזיק לך
12/12/16, 00:11 - Yochai: בחנןכה עושים פה ישיבה
12/12/16, 00:12 - Yochai: עם מי אתה בבנגי
12/12/16, 00:12 - Yochai: תמר?
12/12/16, 00:39 - אנונימוס: לא
12/12/16, 00:40 - אנונימוס: עם אחי...  היה מעולה שם אתחיל לבוא לשם הרה
12/12/16, 20:40 - Yochai: הסיר/ה אותך                                                                                   
נבהלת?
תעבירו את זה לעוד קבוצות 📲📩  כדי לעבוד על עוד אנשים 😎
13/12/16, 07:35 - אנונימוס: Ggvv
13/12/16, 08:00 - Yochai: מישהו שם?
13/12/16, 08:10 - אנונימוס: לא
13/12/16, 08:10 - אנונימוס: יוצא עוד 5 דק
13/12/16, 08:15 - אנונימוס: איפה זה
13/12/16, 08:21 - Yochai: <מדיה הושמטה>
13/12/16, 08:21 - Yochai: אין פה אנשים
13/12/16, 08:22 - Yochai: תגיעו זריז
13/12/16, 08:23 - אנונימוס: חחח
13/12/16, 08:23 - אנונימוס: אני בדרך
13/12/16, 08:24 - אנונימוס: אנונימוס מבריז
13/12/16, 08:25 - Yochai: זובי
13/12/16, 08:37 - אנונימוס: נו הוא רוצה שנציג חח
13/12/16, 08:49 - אנונימוס: אנונימוס
13/12/16, 08:54 - אנונימוס: אנחנו מתבזים איזה מצגות כל אחד עשה
13/12/16, 09:02 - אנונימוס: החרטוט שלנו זה שאנחנו לא רוצים להחליט על פתרון עד שאין לנו דאטה מתויג... 
אנחנו רוצים בעזרת הגופייטר שיצרנו לנתח את הדיאטה ואז להחליט
13/12/16, 09:04 - אנונימוס: לא רשמנו על פרויקטים דומים
13/12/16, 09:04 - אנונימוס: בואו נעשה שקף
13/12/16, 22:56 - Yochai: אין יציאה?
13/12/16, 23:03 - אנונימוס: יש
13/12/16, 23:03 - אנונימוס: בואו לראות סרט עם איתי
13/12/16, 23:06 - Yochai: חחח
14/12/16, 01:00 - אנונימוס: במה חטאתי שאני צריך להיכנס בדלת וישר לקבל גניחה
14/12/16, 01:00 - אנונימוס: 😡
14/12/16, 01:00 - אנונימוס: תקליט
14/12/16, 01:00 - אנונימוס: לא אמין
14/12/16, 01:01 - אנונימוס: זה נפסק חח כי הגעתי...  מגיע לה אם אני לא נהנה אף אחת לא נהנית
14/12/16, 01:02 - Yochai: חחחח
18/12/16, 14:01 - Yochai: אני לא אהיה היום נראלי בשיחה
18/12/16, 14:01 - אנונימוס: קיבלת אישור מאנונימוס?
18/12/16, 14:02 - Yochai: אנונימוס יכול לקפוץ
18/12/16, 14:02 - אנונימוס: חחחח
18/12/16, 14:03 - Yochai: שמעת את הפדיחות שאנונימוס עשה?
18/12/16, 14:05 - אנונימוס: לא
18/12/16, 14:05 - אנונימוס: מה עשה
18/12/16, 14:08 - Yochai: לא יודע ללמד c
18/12/16, 14:14 - אנונימוס: שיעשה flush ויתחיל מחדש
18/12/16, 15:10 - אנונימוס: <מדיה הושמטה>
18/12/16, 16:14 - Yochai: <מדיה הושמטה>
18/12/16, 16:20 - אנונימוס: מה
18/12/16, 16:28 - אנונימוס: כמה הגיעו
18/12/16, 16:29 - אנונימוס: אנונימוס הציון שלך הולך להתפלג חי בריבוע
18/12/16, 16:29 - Yochai: 15 באיחור
18/12/16, 16:29 - אנונימוס: 15 בסדר
19/12/16, 17:11 - Yochai: מניאקים אתם מגיעים למעבדה עכשיו?
19/12/16, 17:19 - אנונימוס: אני בא ב 6
19/12/16, 17:19 - אנונימוס: מה הוא מלמד
19/12/16, 17:20 - Yochai: No sql
19/12/16, 18:14 - אנונימוס: כן
19/12/16, 18:14 - Yochai: יושבים היום או מחר?
19/12/16, 18:16 - Yochai: קיצר מחר
19/12/16, 18:40 - אנונימוס: היום יגזור אנחנו לא נספיק
19/12/16, 19:07 - Yochai: אני במכון כושר
19/12/16, 19:07 - אנונימוס: אנחנו יודעים יציקמוק
19/12/16, 19:07 - אנונימוס: היום מסניפים רטלין
